DATE,CP0400USM086NEST
2018-01-01,107.44
2018-02-01,107.91
2018-03-01,107.85
2018-04-01,107.88
2018-05-01,108.38
2018-06-01,109.17
2018-07-01,109.34
2018-08-01,109.75
2018-09-01,109.56
2018-10-01,109.42
2018-11-01,109.55
2018-12-01,110.18
2019-01-01,110.35
2019-02-01,110.37
2019-03-01,110.62
2019-04-01,110.74
2019-05-01,110.98
2019-06-01,111.82
2019-07-01,112.11
2019-08-01,112.22
2019-09-01,112.32
2019-10-01,112.26
2019-11-01,112.38
2019-12-01,112.64
2020-01-01,113.19
2020-02-01,113.22
2020-03-01,113.12
2020-04-01,113.04
2020-05-01,113.26
2020-06-01,114.09
2020-07-01,114.3
2020-08-01,114.38
2020-09-01,114.73
2020-10-01,114.64
2020-11-01,114.86
2020-12-01,115.19
2021-01-01,115.53
2021-02-01,116.04
2021-03-01,116.22
2021-04-01,116.62
2021-05-01,117.14
2021-06-01,118.11
2021-07-01,118.57
2021-08-01,119.17
2021-09-01,119.88
2021-10-01,120.9
2021-11-01,121.23
2021-12-01,121.59
2022-01-01,123.34
2022-02-01,123.79
2022-03-01,124.84
2022-04-01,125.75
2022-05-01,127.73
2022-06-01,130.25
2022-07-01,130.69
2022-08-01,131.97
2022-09-01,132.99
2022-10-01,133.13
2022-11-01,133.27
2022-12-01,134.15
2023-01-01,135.70
2023-02-01,135.50
2023-03-01,135.02
2023-04-01,134.91
2023-05-01,135.00
2023-06-01,136.25
2023-07-01,136.83
2023-08-01,137.52
2023-09-01,138.21
2023-10-01,138.38
2023-11-01,139.10
2023-12-01,139.55
2024-01-01,140.88
2024-02-01,141.38
2024-03-01,141.74
2024-04-01,141.55
2024-05-01,141.92
