DATE,M2REAL
2018-01-01,5570.1
2018-02-01,5570.3
2018-03-01,5592.7
2018-04-01,5587.2
2018-05-01,5600.7
2018-06-01,5620.0
2018-07-01,5630.8
2018-08-01,5639.8
2018-09-01,5640.6
2018-10-01,5631.4
2018-11-01,5639.5
2018-12-01,5679.3
2019-01-01,5708.4
2019-02-01,5706.0
2019-03-01,5701.1
2019-04-01,5693.2
2019-05-01,5735.9
2019-06-01,5785.5
2019-07-01,5804.2
2019-08-01,5830.7
2019-09-01,5857.3
2019-10-01,5893.1
2019-11-01,5914.6
2019-12-01,5921.1
2020-01-01,5940.6
2020-02-01,5952.8
2020-03-01,6183.2
2020-04-01,6631.1
2020-05-01,6977.2
2020-06-01,7059.3
2020-07-01,7079.2
2020-08-01,7080.8
2020-09-01,7151.9
2020-10-01,7202.1
2020-11-01,7267.0
2020-12-01,7288.9
2021-01-01,7360.6
2021-02-01,7420.7
2021-03-01,7474.0
2021-04-01,7544.5
2021-05-01,7610.1
2021-06-01,7564.0
2021-07-01,7582.9
2021-08-01,7638.0
2021-09-01,7654.9
2021-10-01,7649.7
2021-11-01,7647.3
2021-12-01,7656.7
2022-01-01,7634.4
2022-02-01,7596.5
2022-03-01,7553.7
2022-04-01,7522.5
2022-05-01,7444.9
2022-06-01,7339.2
2022-07-01,7337.2
2022-08-01,7323.3
2022-09-01,7268.3
2022-10-01,7208.5
2022-11-01,7167.3
2022-12-01,7131.3
2023-01-01,7065.9
2023-02-01,7014.9
2023-03-01,6927.3
2023-04-01,6845.8
2023-05-01,6868.8
